seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;avg_fixed_to_one;avg_fixed_to_zero;solution_source
1;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;5;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;50;7;10;3601.903;-0.6568637009409543;-0.6568637009409543;0.5542253570249959;0.8437448381316711;3755141;113519;TIME_LIMIT;314093.0;17918;0.0;0.0;vertex
2;50;7;10;3601.845;-0.6785467060591251;-0.6785467060591251;0.5850280432897529;0.8621780019941273;3671533;119651;TIME_LIMIT;318572.0;17324;0.0;0.0;rounding
3;50;7;10;3601.987;-0.6964447883728754;-0.6964447883728754;0.651804841970211;0.93590310797363;4526345;111027;TIME_LIMIT;25881.0;2258;0.0;0.0;vertex
4;50;7;10;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;50;7;10;3602.29;-0.6526737887860717;-0.6526737887860717;0.6299030445756936;0.9651116000035329;5249941;109285;TIME_LIMIT;15217.0;1146;0.0;0.0;rounding
1;50;7;20;3601.383;-1.403411711587752;-1.403411711587752;1.0699174756952474;0.7623689234321657;1863663;114499;TIME_LIMIT;3.21321e6;54038;0.0;0.0;vertex
2;50;7;20;3601.197;-1.5505104781410823;-1.5505104781410823;0.9348222673660005;0.6029125765643102;1866109;118963;TIME_LIMIT;97530.0;6084;0.0;0.0;vertex
3;50;7;20;3601.341;-1.6247267883900074;-1.6247267883900074;1.1553295417792295;0.7110915816954565;1981930;110325;TIME_LIMIT;585366.0;21046;0.0;0.0;vertex
4;50;7;20;3601.344;-1.4119494993225339;-1.4119494993225339;1.0147603471658746;0.71869450547117;1797622;112165;TIME_LIMIT;630874.0;22098;0.0;0.0;vertex
5;50;7;20;3602.123;-1.4601925579703607;-1.4601925579703607;1.1023076824617615;0.7549056981867841;2812125;103225;TIME_LIMIT;489736.0;17242;0.0;0.0;vertex
1;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;80;8;6;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
1;80;8;12;3602.564;-1.0035501932143696;-1.0035501932143696;1.2972699833510242;1.2926807170410386;6560269;102691;TIME_LIMIT;24376.0;1178;0.0;0.0;rounding
2;80;8;12;3603.124;-0.869327292143562;-0.869327292143562;1.089730480085399;1.2535330363301644;5930296;81611;TIME_LIMIT;3.026199e6;37875;0.0;0.0;vertex
3;80;8;12;3603.527;-0.8054736491888068;-0.8054736491888068;1.26765689366117;1.5738030597746162;5824217;72997;TIME_LIMIT;136400.0;4322;0.0;0.0;vertex
4;80;8;12;3603.284;-0.8823794236966438;-0.8823794236966438;1.1291358926321626;1.2796489382104541;5003252;84667;TIME_LIMIT;241203.0;8323;0.0;0.0;vertex
5;80;8;12;3603.092;-0.8419995601939139;-0.8419995601939139;1.1793051206200094;1.4006006373072375;5716460;75039;TIME_LIMIT;25326.0;830;0.0;0.0;vertex
1;80;8;24;3602.877;-2.249971616723613;-2.249971616723613;2.4189831384296916;1.0751171794567753;2869479;99791;TIME_LIMIT;239594.0;9744;0.0;0.0;vertex
2;80;8;24;3601.78;-1.8782386568675293;-1.8782386568675293;1.880783478528374;1.001354897926065;2800730;86449;TIME_LIMIT;1.145707e6;22113;0.0;0.0;vertex
3;80;8;24;3601.463;-1.7909219134922605;-1.7909219134922605;2.199808847540064;1.2283108665807112;2002413;88987;TIME_LIMIT;3.174727e6;42066;0.0;0.0;vertex
4;80;8;24;3601.642;-1.954058221571119;-1.954058221571119;1.938215543106689;0.991892422503311;1812855;93471;TIME_LIMIT;3.44682e6;45833;0.0;0.0;rounding_lmo_01
5;80;8;24;3602.216;-1.9549887339179772;-1.9549887339179772;1.971546177506284;1.0084693294140494;2412917;86255;TIME_LIMIT;2.665416e6;37802;0.0;0.0;vertex
1;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
2;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
3;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
4;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
5;100;10;7;3600.0;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;0.0;0.0;missing
