dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
45,ACST (Boscia),3,3,100.0,500.8269,356.1581,,0,0,1.07435567e6,37688.33,0.0,0.0
66,ACST (Boscia),3,0,0.0,3600.025,0.0057,0.600739,0,0,0.0,0.0,0.0,0.0
105,ACST (Boscia),3,0,0.0,3600.2663,0.1869,2.008997,0,0,0.0,0.0,0.0,0.0
300,ACST (Boscia),3,0,0.0,3602.4137,0.0005,5.965686,0,0,0.0,0.0,0.0,0.0
780,ACST (Boscia),3,0,0.0,3600.8523,0.0308,11.590851,0,0,0.0,0.0,0.0,0.0
1770,ACST (Boscia),3,0,0.0,3600.2943,0.0144,21.358233,0,0,0.0,0.0,0.0,0.0
4950,ACST (Boscia),3,0,0.0,3600.086,0.0088,57.511544,0,0,0.0,0.0,0.0,0.0
45,ACST (rank pruning),3,3,100.0,28.4055,16.8735,,0,0,142158.67,3826.67,0.0,0.0
66,ACST (rank pruning),3,1,33.33,3287.6166,405.4241,0.172368,0,0,1.0044801e7,16110.0,0.0,0.0
105,ACST (rank pruning),3,0,0.0,3600.259,0.1823,1.959993,0,0,0.0,0.0,0.0,0.0
300,ACST (rank pruning),3,0,0.0,3602.404,0.0772,5.9124,0,0,0.0,0.0,0.0,0.0
780,ACST (rank pruning),3,0,0.0,3600.829,0.017,11.744151,0,0,0.0,0.0,0.0,0.0
1770,ACST (rank pruning),3,0,0.0,3600.2453,0.0246,22.008448,0,0,0.0,0.0,0.0,0.0
4950,ACST (rank pruning),3,0,0.0,3600.1047,0.0056,57.514237,0,0,0.0,0.0,0.0,0.0
-1,ACST (Boscia),21,3,14.29,2716.4193,1152.1187,6.841115,0,0,1.07435567e6,37688.33,0.0,0.0
-1,ACST (rank pruning),21,4,19.05,1779.6018,1778.8105,6.826648,0,0,2.61781925e6,6897.5,0.0,0.0
